Input Class,Property,Output Class
http://purl.obolibrary.org/obo/ENVO_03000056,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000076
http://purl.obolibrary.org/obo/ENVO_01000065,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_03000088,http://purl.obolibrary.org/obo/BFO_0000051,http://purl.obolibrary.org/obo/ENVO_01000554
http://purl.obolibrary.org/obo/ENVO_01000067,http://purl.obolibrary.org/obo/RO_0001018,http://purl.obolibrary.org/obo/ENVO_01000819
http://purl.obolibrary.org/obo/ENVO_01000061,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000209
http://purl.obolibrary.org/obo/ENVO_03000104,http://purl.obolibrary.org/obo/RO_0000057,http://purl.obolibrary.org/obo/ENVO_03000027
http://purl.obolibrary.org/obo/ENVO_03000085,http://purl.obolibrary.org/obo/RO_0002354,http://purl.obolibrary.org/obo/ENVO_03000086
http://purl.obolibrary.org/obo/ENVO_00000137,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000015
http://purl.obolibrary.org/obo/ENVO_00000137,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000016
http://purl.obolibrary.org/obo/ENVO_01000721,http://purl.obolibrary.org/obo/RO_0002233,http://purl.obolibrary.org/obo/ENVO_01000277
http://purl.obolibrary.org/obo/ENVO_03000042,http://purl.obolibrary.org/obo/BFO_0000062,http://purl.obolibrary.org/obo/ENVO_03000045
http://purl.obolibrary.org/obo/ENVO_03000102,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_03000004
http://purl.obolibrary.org/obo/ENVO_01000066,http://purl.obolibrary.org/obo/BFO_0000050,http://purl.obolibrary.org/obo/ENVO_00000000
http://purl.obolibrary.org/obo/ENVO_01000624,http://purl.obolibrary.org/obo/RO_0002234,http://purl.obolibrary.org/obo/ENVO_01000815
