Sample 1 Operational Taxonomic Unit Count,Sample 2 Operational Taxonomic Unit Count,Domain,Phylum,Class,Order,Family,Genus
94,156,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255 marine benthic group,JTB255 marine benthic group_unclassified
9,5,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,NA,NA_unclassified
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Acidibacter
3,10,Bacteria,Proteobacteria,JTB23,JTB23_unclassified,JTB23_unclassified,JTB23_unclassified
1,0,Bacteria,TM6,TM6_unclassified,TM6_unclassified,TM6_unclassified,TM6_unclassified
1,1,Bacteria,Verrucomicrobia,OPB35 soil group,OPB35 soil group_unclassified,OPB35 soil group_unclassified,OPB35 soil group_unclassified
0,0,Bacteria,Verrucomicrobia,Opitutae,Opitutae vadinHA64,Opitutae vadinHA64_unclassified,Opitutae vadinHA64_unclassified
0,0,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Cerasicoccus
0,1,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Pelagicoccus
0,0,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Puniceicoccus
0,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales_unclassified,Verrucomicrobiales_unclassified
4,1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007_unclassified
3,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseibacillus
1,1,Eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified
4,0,Eukaryota,Phragmoplastophyta,Embryophyta,Fabales,NA,Arachis
0,0,Eukaryota,NA,Prasinophytae,Prasinophytae_unclassified,Prasinophytae_unclassified,Prasinophytae_unclassified
0,0,Eukaryota,Cryptomonadales,Cryptomonadales_unclassified,Cryptomonadales_unclassified,Cryptomonadales_unclassified,Cryptomonadales_unclassified
0,0,Eukaryota,Metazoa (Animalia)_unclassified,Metazoa (Animalia)_unclassified,Metazoa (Animalia)_unclassified,Metazoa (Animalia)_unclassified,Metazoa (Animalia)_unclassified
0,0,Eukaryota,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified
0,0,Eukaryota,Arthropoda,Arthropoda_unclassified,Arthropoda_unclassified,Arthropoda_unclassified,Arthropoda_unclassified
0,0,Eukaryota,Arthropoda,Maxillopoda,Maxillopoda_unclassified,Maxillopoda_unclassified,Maxillopoda_unclassified
0,0,Eukaryota,Arthropoda,Maxillopoda,Harpacticoida,Harpacticoida_unclassified,Harpacticoida_unclassified
0,0,Eukaryota,Arthropoda,Ostracoda,Podocopida,Podocopida_unclassified,Podocopida_unclassified
34,12,Eukaryota,Vertebrata,Actinopterygii,Actinopterygii_unclassified,Actinopterygii_unclassified,Actinopterygii_unclassified
0,0,Eukaryota,Nematoda,Chromadorea,Chromadorea_unclassified,Chromadorea_unclassified,Chromadorea_unclassified
