Molecular Function,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count,Sample 3 Cellular Components Count,Sample 4 Cellular Components Count
GO:0009378,316,226,295,197
GO:0000049,636,418,521,341
GO:0004399,236,173,226,122
GO:0051920,371,312,355,358
GO:0004553,1630,1501,1492,1250
GO:0008686,221,111,179,112
GO:0008312,239,140,178,115
GO:0004197,281,216,278,245
GO:0042301,217,81,96,145
GO:0003864,216,127,194,146
GO:0008661,215,123,246,119
GO:0046429,214,118,201,120
GO:0070008,209,143,198,110
GO:0003678,515,350,390,305
GO:0004499,206,182,113,98
GO:0004655,204,132,208,123
GO:0004842,263,296,150,196
GO:0004733,202,116,220,130
GO:0016788,694,490,731,488
GO:0015450,201,83,123,87
GO:0016805,256,188,284,147
GO:0004814,309,197,243,148
GO:0008170,289,240,340,234
GO:0004352,192,127,231,148
GO:0004602,192,69,135,94
GO:0070569,190,147,107,124
GO:0008233,486,423,465,307
GO:0003937,188,105,207,106
GO:0004643,184,101,203,104
GO:0016874,345,246,343,209
GO:0016853,628,417,582,362
GO:0008452,182,202,166,143
GO:0015171,180,273,206,217
GO:0008410,180,190,194,170
GO:0004096,179,145,94,98
GO:0004512,179,138,147,114
GO:0008146,218,165,182,131
GO:0008408,843,526,846,480
GO:0031625,169,163,102,116
GO:0016840,168,46,179,58
GO:0003852,168,83,134,75
GO:0016773,577,549,531,478
GO:0016153,168,148,139,130
GO:0000150,228,188,222,161
GO:0005319,188,192,27,189
GO:0008138,164,130,98,121
GO:0003724,162,131,180,188
GO:0003887,725,438,654,376
GO:0004799,161,105,140,102
GO:0002161,258,320,287,473
GO:0004471,291,345,268,364
GO:0004488,273,235,234,196
GO:0004345,244,147,205,143
GO:0003989,218,105,184,132
GO:0004190,275,164,249,153
GO:0017153,151,173,202,137
GO:0016774,148,110,122,67
GO:0003951,148,91,133,104
GO:0004424,147,59,146,62
GO:0004315,146,92,138,96
GO:0046873,226,198,161,177
GO:0004590,143,93,138,75
GO:0008324,386,355,451,320
GO:0008963,141,92,175,123
GO:0008705,141,80,118,101
GO:0008173,187,185,227,147
GO:0018492,140,180,98,97
GO:0004725,142,151,61,91
GO:0004826,295,135,230,135
GO:0004325,139,82,123,85
GO:0008964,136,82,149,65
GO:0008601,133,156,69,99
GO:0016757,421,386,370,253
GO:0016780,132,86,140,107
GO:0004518,217,121,190,140
GO:0004198,131,269,83,131
GO:0004089,131,57,136,87
GO:0004114,130,168,93,93
GO:0019239,128,124,112,103
GO:0003849,127,70,106,84
GO:0004420,127,110,122,112
GO:0003725,127,116,125,101
GO:0004061,126,96,181,86
GO:0004576,126,139,87,106
GO:0004834,126,91,138,61
GO:0005544,125,174,49,75
GO:0008837,123,72,106,74
GO:0015238,123,133,151,135
GO:0015297,123,133,151,135
GO:0016655,155,91,120,98
GO:0009002,134,67,137,70
GO:0003933,122,55,82,43
GO:0070403,122,109,110,91
GO:0016846,120,75,149,88
GO:0004665,120,51,99,54
GO:0008977,120,51,99,54
GO:0016708,120,107,126,105
GO:0008479,120,68,121,59
GO:0030983,303,253,345,238
GO:0008239,170,136,198,124
GO:0070009,117,65,120,69
GO:0004609,116,91,126,119
GO:0008081,117,108,111,93
GO:0004134,114,64,97,65
GO:0015159,114,72,127,72
GO:0003779,186,188,132,194
GO:0000175,111,44,51,29
GO:0004523,111,213,107,77
GO:0004109,109,84,72,78
GO:0008830,108,68,127,80
GO:0008430,108,90,95,115
GO:0004358,107,65,95,68
GO:0004418,161,89,140,73
GO:0004820,195,161,206,116
GO:0004560,106,122,108,93
GO:0004592,106,54,80,59
GO:0008124,106,49,95,52
GO:0008745,153,116,202,131
GO:0003871,112,68,131,67
GO:0033856,104,67,104,71
GO:0000156,103,95,91,50
GO:0008984,103,95,91,50
GO:0004357,172,159,171,147
GO:0004140,102,47,75,41
GO:0003911,138,79,162,115
GO:0016836,147,94,126,94
GO:0004421,190,82,161,99
GO:0008998,102,87,72,56
GO:0008716,101,77,101,64
GO:0015093,122,80,126,77
GO:0003879,155,68,115,72
GO:0035438,100,51,90,58
GO:0009029,98,97,97,91
GO:0008158,97,121,59,90
GO:0003855,119,58,96,60
GO:0016714,95,80,32,75
GO:0004175,95,48,43,49
GO:0030145,247,129,221,181
GO:0008703,95,52,93,59
GO:0050897,146,70,157,63
GO:0016811,103,80,111,95
GO:0004571,89,123,58,77
GO:0036361,88,68,131,75
GO:0004852,88,40,61,42
GO:0008883,151,66,117,90
GO:0004367,87,52,91,64
GO:0004640,87,67,84,49
GO:0004751,87,43,75,50
GO:0008839,158,103,124,67
GO:0003922,86,66,83,41
GO:0004411,86,109,75,88
GO:0003896,103,72,106,78
GO:0004930,111,112,54,90
GO:0016758,226,186,218,192
GO:0004664,83,55,83,40
GO:0045158,83,28,57,66
GO:0005247,83,87,88,62
GO:0008241,82,62,65,65
GO:0003843,80,30,34,23
GO:0004526,80,32,61,41
GO:0043531,78,78,88,72
GO:0003919,77,42,57,24
GO:0004619,77,45,78,49
GO:0005267,81,61,60,42
GO:0008942,77,21,48,41
GO:0004068,76,40,70,35
GO:0004559,76,56,48,45
GO:0005096,104,92,74,81
GO:0050570,75,60,63,53
GO:0004425,74,46,75,48
GO:0003994,122,72,97,60
GO:0004514,73,59,80,46
GO:0050380,72,40,57,38
GO:0045300,70,38,30,46
GO:0005089,71,84,40,65
GO:0004525,81,55,68,48
GO:0004520,70,45,67,50
GO:0005516,105,107,116,103
GO:0004635,69,48,58,48
GO:0031072,68,48,41,28
GO:0008531,68,43,48,35
GO:0004144,94,118,99,106
GO:0004071,67,129,42,198
GO:0004810,69,39,45,25
GO:0005044,67,342,56,52
GO:0016791,97,139,111,85
GO:0043169,65,36,43,29
GO:0043022,112,96,97,104
GO:0000062,66,83,50,58
GO:0052855,64,58,82,73
GO:0016783,64,48,96,55
GO:0004637,122,74,125,78
GO:0015649,64,16,57,52
GO:0008915,67,51,65,44
GO:0016884,63,37,69,28
GO:0003729,99,75,53,48
GO:0046914,142,76,182,102
GO:0016307,62,51,34,48
GO:0018112,62,63,68,43
GO:0004402,75,78,42,52
GO:0004527,61,52,27,30
GO:0004673,61,36,52,31
GO:0015288,76,37,74,63
GO:0070402,59,37,70,31
GO:0003910,91,72,67,73
GO:0003848,56,34,43,42
GO:0004017,55,62,46,35
GO:0016833,58,46,69,44
GO:0019825,70,56,73,63
GO:0004174,53,29,42,31
GO:0004348,78,57,80,47
GO:0050797,53,32,48,24
GO:0008725,52,42,68,32
GO:0016636,52,18,54,26
GO:0004340,52,37,47,33
GO:0005488,52,43,59,43
GO:0003785,52,62,12,34
GO:0008685,52,42,67,36
GO:0004363,104,94,98,56
GO:0008982,73,25,80,35
GO:0003917,66,39,33,32
GO:0016872,50,12,51,25
GO:0004146,50,32,66,35
GO:0043772,50,31,52,35
GO:0003950,63,64,35,52
GO:0004789,51,35,45,30
GO:0050518,49,34,82,58
GO:0008176,49,31,37,19
GO:0005351,49,37,28,33
GO:0008677,48,38,67,57
GO:0015558,47,33,53,43
GO:0008855,82,63,92,57
GO:0008171,72,72,86,64
GO:0000334,46,26,32,32
GO:0003993,77,81,39,39
GO:0004150,45,26,47,18
GO:0015923,45,54,25,34
GO:0015385,45,28,49,27
GO:0035091,45,67,27,33
GO:0005086,45,54,36,49
GO:0008649,44,19,43,29
GO:0018822,44,20,54,29
GO:0016157,44,35,44,22
GO:0003854,43,31,23,30
GO:0031369,43,51,28,31
GO:0008026,43,51,53,31
GO:0016818,76,94,85,57
GO:0016763,52,24,42,25
GO:0015501,42,28,29,30
GO:0004764,42,28,46,24
GO:0008927,42,24,38,29
GO:0008897,41,32,46,32
GO:0004371,69,59,80,60
GO:0004833,41,41,49,56
GO:0004866,75,57,54,49
GO:0008829,40,13,31,16
GO:0008882,40,37,56,41
GO:0004359,73,67,64,66
GO:0004392,40,7,42,22
GO:0004594,59,65,57,48
GO:0016852,39,20,38,17
GO:0008817,39,29,26,13
GO:0004386,58,67,45,55
GO:0009001,39,22,37,26
GO:0008899,37,27,41,22
GO:0005085,39,36,29,34
GO:0004579,42,36,22,44
GO:0004797,37,31,46,30
GO:0008880,37,22,28,21
GO:0015109,36,30,42,35
GO:0003684,84,78,95,68
GO:0003906,59,50,68,37
GO:0016799,59,50,68,37
GO:0009007,37,25,41,17
GO:0005230,36,66,13,56
GO:0008962,36,34,33,29
GO:0042834,36,24,35,25
GO:0004014,56,37,49,38
GO:0004683,35,23,31,20
GO:0046923,35,32,20,28
GO:0005542,54,48,40,40
GO:0004476,36,33,40,38
GO:0033739,35,27,41,26
GO:0019887,34,40,24,30
GO:0004668,35,38,42,32
GO:0004843,40,41,21,39
GO:0008757,34,17,21,14
GO:0008198,33,21,45,26
GO:0005094,33,37,22,35
GO:0008108,45,40,34,40
GO:0015129,31,19,29,17
GO:0008061,32,23,24,30
GO:0015232,30,20,25,17
GO:0003856,30,8,12,7
GO:0004373,30,52,25,35
GO:0004827,30,15,24,20
GO:0005471,30,37,26,29
GO:0004832,30,17,27,19
GO:0042302,41,136,41,55
GO:0004040,29,14,27,23
GO:0008914,29,22,38,28
GO:0008762,29,25,52,29
GO:0008115,29,12,22,10
GO:0003873,28,27,34,24
GO:0008939,28,28,24,13
GO:0050485,52,47,42,60
GO:0004867,31,71,18,52
GO:0008772,27,25,33,30
GO:0048472,27,14,20,7
GO:0005381,37,22,27,11
GO:0098599,27,27,13,21
GO:0017070,27,25,19,17
GO:0051015,40,37,15,51
GO:0016851,26,14,18,19
GO:0015128,26,23,32,20
GO:0004555,26,16,18,23
GO:0031404,25,14,15,17
GO:0048029,25,9,16,6
GO:0004540,31,15,6,11
GO:0004018,24,25,31,11
GO:0004057,42,34,28,18
GO:0008131,29,24,23,19
GO:0003756,24,16,16,11
GO:0016671,24,16,16,11
GO:0004650,24,24,21,16
GO:0016861,24,16,29,10
GO:0008289,28,35,16,19
GO:0004674,53,98,46,67
GO:0009916,23,22,9,17
GO:0016462,31,19,15,17
GO:0008773,23,10,11,11
GO:0052861,23,14,14,20
GO:0005451,23,28,22,16
GO:0003941,23,21,27,14
GO:0010309,22,15,22,5
GO:0017172,22,22,18,24
GO:0042279,22,33,26,29
GO:0004143,28,33,33,17
GO:0016879,52,28,33,30
GO:0016429,23,14,13,23
GO:0008536,22,21,15,17
GO:0008374,22,32,27,25
GO:0015098,24,31,24,27
GO:0004615,22,25,13,26
GO:0008253,44,19,24,17
GO:0005201,36,40,8,24
GO:0016538,21,16,10,13
GO:0008736,40,22,24,20
GO:0004568,21,14,9,10
GO:0016702,33,23,12,28
GO:0046422,21,8,8,15
GO:0019901,34,45,15,27
GO:0030515,20,12,4,9
GO:0043140,20,12,35,17
GO:0003885,19,7,11,10
GO:0008047,20,34,8,36
GO:0015075,38,22,29,32
GO:0008792,19,10,12,11
GO:0030623,19,20,14,15
GO:0016798,30,30,53,32
GO:0046917,18,8,14,7
GO:0004806,21,23,15,15
GO:0004435,18,15,9,20
GO:0008740,18,14,19,17
GO:0008488,18,7,21,11
GO:0005272,17,26,4,16
GO:0009496,17,4,12,8
GO:0004003,18,30,21,19
GO:0003796,24,10,21,19
GO:0050113,16,30,19,19
GO:0046556,28,24,22,14
GO:0008791,15,3,4,6
GO:0004817,15,14,25,8
GO:0004671,15,14,19,14
GO:0050080,15,16,24,16
GO:0043115,15,23,27,10
GO:0042393,21,25,10,15
GO:0050532,14,5,12,9
GO:0008521,14,10,2,6
GO:0005543,14,16,3,11
GO:0008509,14,16,1,15
GO:0045502,14,10,11,5
GO:0004334,14,19,13,10
GO:0008887,14,15,18,14
GO:0004864,14,17,11,8
GO:0004970,17,37,5,32
GO:0004379,23,37,16,22
GO:0004652,14,25,9,14
GO:0003905,14,10,20,4
GO:0050385,14,15,52,9
GO:0008733,13,10,16,9
GO:0003682,13,22,5,14
GO:0004497,17,20,9,16
GO:0016715,13,16,2,13
GO:0004869,13,33,9,27
GO:0008092,15,13,5,12
GO:0030674,15,7,3,8
GO:0018759,13,6,10,5
GO:0008948,13,3,9,2
GO:0015081,13,3,9,2
GO:0033897,13,11,8,14
GO:0047989,12,5,6,7
GO:0016730,12,12,13,10
GO:0008767,12,11,14,7
GO:0050524,39,17,19,3
GO:0004649,12,13,5,7
GO:0004620,12,8,13,18
GO:0016817,17,10,17,14
GO:0016989,12,21,18,10
GO:0004037,11,16,27,21
GO:0019904,13,18,2,11
GO:0004000,11,23,5,5
GO:0050568,11,10,5,6
GO:0008814,11,7,11,13
GO:0008810,19,10,20,14
GO:0008417,13,15,7,6
GO:0008440,11,13,8,15
GO:0005242,11,14,6,1
GO:0047474,11,4,9,5
GO:0016641,11,7,11,10
GO:0015095,11,9,6,6
GO:0003690,16,24,46,21
GO:0004809,11,12,8,11
GO:0003980,11,13,8,11
GO:0034450,11,9,8,14
GO:0003712,13,13,9,11
GO:0004565,22,29,27,20
GO:0016972,10,7,4,7
GO:0005158,10,18,1,10
GO:0046406,10,2,4,2
GO:0004517,10,6,1,4
GO:0003842,10,10,5,16
GO:0008774,9,8,5,1
GO:0003997,9,8,5,10
GO:0034618,9,2,8,5
GO:0016993,9,16,11,9
GO:0043752,9,5,10,3
GO:0004408,9,17,3,8
GO:0008378,9,25,5,10
GO:0004336,9,11,13,9
GO:0004161,9,9,9,10
GO:0003847,9,1,3,3
GO:0030599,9,166,6,6
GO:0004829,9,4,4,3
GO:0046353,8,3,7,4
GO:0015225,8,11,27,7
GO:0003714,8,6,4,2
GO:0008375,10,19,4,10
GO:0008924,8,3,11,4
GO:0034257,8,2,4,9
GO:0005337,8,7,0,5
GO:0008318,8,4,11,9
GO:0019211,8,16,4,10
GO:0003689,8,1,4,2
GO:0008174,8,5,2,2
GO:0004984,7,5,3,5
GO:0005549,7,5,3,5
GO:0016790,7,3,2,3
GO:0008818,7,10,12,5
GO:0051073,7,10,12,5
GO:0045735,7,7,10,9
GO:0050215,7,7,10,9
GO:0047355,7,5,5,5
GO:0070273,7,14,4,5
GO:0047325,7,11,2,3
GO:0052725,7,11,2,3
GO:0052726,7,11,2,3
GO:0003908,7,9,3,7
GO:0003954,8,14,9,5
GO:0004721,11,13,9,7
GO:0008121,11,9,10,15
GO:0015105,6,4,4,6
GO:0005375,6,6,1,3
GO:0004531,6,9,1,2
GO:0033926,6,4,11,2
GO:0042030,6,4,1,9
GO:0050483,6,6,4,2
GO:0042974,6,0,5,3
GO:0004557,6,8,8,10
GO:0015099,6,4,9,4
GO:0004656,6,4,1,5
GO:0016756,6,9,6,5
GO:0000030,7,4,4,6
GO:0008144,6,11,7,7
GO:0005262,6,24,2,9
GO:0004800,6,7,13,3
GO:0016888,7,5,2,5
GO:0042624,6,5,2,5
GO:0008201,5,3,1,2
GO:0009882,5,2,17,7
GO:0008813,5,1,1,1
GO:0033990,5,1,5,5
GO:0033925,5,5,2,3
GO:0008242,5,12,3,6
GO:0001104,21,19,6,17
GO:0050144,5,7,5,3
GO:0070694,5,7,5,3
GO:0015153,5,2,4,2
GO:0030942,10,10,4,8
GO:0005047,8,16,4,11
GO:0004788,5,5,4,0
GO:0005523,5,11,1,8
GO:0016407,5,7,8,7
GO:0004016,5,2,2,2
GO:0001671,4,3,0,6
GO:0015269,5,8,1,12
GO:0008811,4,0,3,1
GO:0016994,4,4,4,2
GO:0008671,4,2,6,0
GO:0004583,4,1,3,1
GO:0008851,7,8,8,5
GO:0016755,6,14,6,4
GO:0048027,4,11,2,2
GO:0004714,4,0,0,1
GO:0008107,4,5,4,9
GO:0030699,4,2,4,0
GO:0030247,5,13,15,9
GO:0050151,4,2,6,11
GO:0016645,4,0,5,2
GO:0004857,5,3,4,14
GO:0047465,4,2,4,2
GO:0003713,6,12,3,4
GO:0018024,7,14,7,3
GO:0016844,4,2,2,2
GO:0000213,6,5,6,6
GO:0015631,6,24,3,5
GO:0005102,4,9,1,8
GO:0004026,3,0,1,0
GO:0003956,3,1,2,1
GO:0009015,3,4,6,6
GO:0042925,3,4,1,3
GO:0015658,3,6,0,1
GO:0009036,7,6,9,3
GO:2001070,6,1,3,4
GO:0008657,3,2,0,4
GO:0016760,3,2,3,6
GO:0071771,3,0,1,1
GO:0008190,3,11,1,6
GO:0001733,3,4,0,3
GO:0017089,3,2,4,6
GO:0051861,3,2,4,6
GO:0008373,3,4,2,2
GO:0015018,3,6,2,5
GO:0031492,3,0,0,0
GO:0004383,3,6,4,4
GO:0005234,3,14,0,14
GO:0043768,3,1,3,0
GO:0030058,3,3,3,0
GO:0008455,3,3,6,8
GO:0004484,4,5,5,7
GO:0016706,3,3,2,6
GO:0031418,3,2,1,1
GO:0030414,5,4,2,1
GO:0046537,3,2,13,2
GO:0097351,3,1,1,1
GO:0009020,3,1,1,1
GO:0008193,3,4,1,2
GO:0009976,3,3,5,1
GO:0008175,3,0,1,0
GO:0051499,3,0,3,0
GO:0004819,3,4,0,1
GO:0043130,5,8,4,2
GO:0016812,2,4,3,1
GO:0015267,2,0,1,0
GO:0005388,2,4,0,4
GO:0008376,2,3,1,3
GO:0016531,2,4,2,5
GO:0016717,2,1,3,2
GO:0004629,2,1,3,1
GO:0008852,2,4,6,5
GO:0017176,3,3,0,2
GO:0031491,2,7,3,5
GO:0000975,2,2,0,1
GO:0004584,2,4,2,2
GO:0019799,2,6,0,0
GO:0015097,2,2,1,2
GO:0004482,2,0,1,0
GO:0001614,2,7,0,6
GO:0004931,2,7,0,6
GO:0010277,2,2,2,4
GO:0016158,2,2,3,1
GO:0003978,2,0,5,1
GO:0042802,3,3,1,1
GO:0051033,2,7,1,2
GO:0080019,2,2,1,3
GO:0019905,4,13,2,9
GO:0005200,2,8,0,4
GO:0008083,4,4,2,5
GO:0005261,3,20,2,1
GO:0016437,2,0,1,1
GO:0047605,1,4,2,1
GO:0008294,1,0,2,1
GO:0004064,1,3,1,1
GO:0003877,1,1,1,0
GO:0046332,1,3,0,0
GO:0005179,2,1,1,2
GO:0004100,1,0,1,0
GO:0008704,1,1,1,0
GO:0004112,1,0,1,0
GO:0004126,1,0,0,1
GO:0015556,1,0,6,1
GO:0016891,1,0,1,0
GO:0018576,1,3,8,0
GO:0047869,1,1,0,4
GO:0017048,1,11,0,7
GO:0008770,1,0,3,0
GO:0047750,1,0,1,0
GO:0016161,1,3,4,5
GO:0015926,1,4,2,3
GO:0004415,1,0,1,0
GO:0003830,1,2,1,2
GO:0043395,1,0,0,12
GO:0030695,1,0,0,1
GO:0003688,1,0,0,0
GO:0004861,1,2,0,4
GO:0017069,1,1,0,1
GO:0016298,1,0,0,0
GO:0015016,1,0,1,2
GO:0008556,1,0,4,2
GO:0015079,1,4,2,4
GO:0050097,1,0,1,3
GO:0008901,1,2,1,0
GO:0030269,2,2,4,0
GO:0004631,1,1,0,0
GO:0008907,1,0,1,0
GO:0016670,1,0,1,1
GO:0005184,1,0,0,0
GO:0004180,1,1,1,0
GO:0004521,1,0,1,0
GO:0016286,1,2,0,1
GO:0004888,1,1,1,0
GO:0010333,1,2,0,1
GO:0034597,1,0,0,1
GO:0003810,1,1,2,0
GO:0015204,1,3,0,4
GO:0016503,1,2,0,1
GO:0047396,1,2,0,1
GO:0030158,1,0,0,0
GO:0001882,1,1,0,1
GO:0000981,1,2,0,0
GO:0004417,0,7,3,6
GO:0098519,0,5,0,0
GO:0004398,0,3,0,0
GO:0050504,0,3,1,0
GO:0004675,0,3,4,5
GO:0000978,0,2,1,3
GO:0000982,0,2,1,3
GO:0016534,0,2,2,2
GO:0034061,0,2,1,1
GO:0016433,0,2,0,0
GO:0050290,0,2,0,0
GO:0004097,0,2,3,1
GO:0016881,0,3,1,3
GO:0031386,0,2,0,1
GO:0032266,0,2,0,1
GO:0030507,0,1,0,0
GO:0030248,0,1,1,0
GO:0008771,0,1,0,0
GO:0005212,0,1,0,0
GO:0019139,0,1,0,0
GO:0004318,0,1,0,1
GO:0004564,0,1,0,0
GO:0004575,0,1,0,0
GO:0034228,0,1,1,0
GO:0017134,0,1,0,1
GO:0004713,0,1,0,0
GO:0016977,0,1,1,1
GO:0005520,0,1,0,0
GO:0043399,0,1,2,1
GO:0035299,0,1,0,0
GO:0008418,0,1,0,3
GO:0044212,0,1,0,1
GO:0004115,0,1,2,2
GO:0030570,0,1,0,1
GO:0047487,0,1,1,0
GO:0004623,0,1,0,0
GO:0034235,0,1,0,0
GO:0005219,0,1,0,2
GO:0008140,0,1,0,1
GO:0030975,0,1,0,1
GO:0004715,0,0,2,0
GO:0004506,0,0,2,1
GO:0008514,0,0,1,0
GO:0036094,0,0,1,0
GO:0004556,0,0,1,0
GO:0008534,0,0,1,1
GO:0000014,0,0,1,0
GO:0005540,0,0,1,0
GO:0008073,0,0,0,8
GO:0008849,0,0,0,2
GO:0004677,0,0,0,2
GO:0047746,0,0,0,1
GO:0051908,0,0,0,1
GO:0046559,0,0,0,1
GO:0005249,0,0,0,1
GO:0005248,0,0,0,1
GO:0003870,0,0,0,1
