Cellular Components,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count,Sample 3 Cellular Components Count,Sample 4 Cellular Components Count
GO:0005672,7,6,5,6
GO:0005744,3,2,1,3
GO:0046930,2,0,1,0
GO:0032580,2,3,1,3
GO:0005758,2,4,2,5
GO:0005751,2,2,1,4
GO:0031083,2,2,0,2
GO:0030991,2,0,0,1
GO:0070176,2,1,0,1
GO:0005874,2,6,1,0
GO:0005763,2,1,0,1
GO:0019013,2,0,0,3
GO:0001726,2,8,0,4
GO:0005925,2,9,0,4
GO:0000439,6,3,2,9
GO:0005680,1,2,2,1
GO:0032039,1,3,0,3
GO:0031902,1,0,0,0
GO:0045121,1,0,0,0
GO:0071986,1,0,0,0
GO:0005759,1,3,0,2
GO:0005742,1,3,0,5
GO:0036038,1,11,0,5
GO:0000262,1,0,2,1
GO:0042613,1,0,1,0
GO:0000123,1,4,3,2
GO:0000775,1,1,0,2
GO:0033588,1,2,0,3
GO:0005665,1,3,2,1
GO:0044599,1,0,0,0
GO:0000124,1,0,0,1
GO:0000445,1,2,1,0
GO:0071595,1,1,0,3
GO:0033644,1,16,1,1
GO:0005813,0,3,0,0
GO:0055036,0,3,0,1
GO:0016533,0,2,2,2
GO:0016010,0,2,0,0
GO:0017053,0,3,0,2
GO:0043189,0,1,0,1
GO:0000178,0,1,1,2
GO:0030896,0,1,0,1
GO:0031305,0,1,0,0
GO:0000176,0,1,0,0
GO:0070461,0,1,0,0
GO:0016012,0,1,0,1
GO:1990879,0,0,2,0
GO:0072669,0,0,1,0
GO:0036128,0,0,1,0
GO:0031411,0,0,1,0
GO:0005819,0,0,1,0
GO:0000795,0,0,1,1
GO:0005639,0,0,0,3
GO:0009276,0,0,0,1
GO:0008076,0,0,0,1
GO:0001527,0,0,0,1
GO:0001518,0,0,0,1
GO:0005664,0,0,0,1
GO:0005666,0,0,0,1
GO:0005891,0,0,0,0
GO:0005788,0,0,0,0
GO:0005747,0,0,0,0
GO:1990316,0,0,0,0
GO:0000776,0,0,0,0
GO:0005868,0,0,0,0
GO:0071008,0,0,0,0
GO:0030133,0,0,0,0
GO:0000781,0,0,0,0
GO:0009898,0,0,0,0
